"feedback_text","sentiment_label"
"Mặc dù stress nặng nhưng em vẫn làm được bài tập được.","NEUTRAL"
"Em đang phải vừa lo mất ngủ liên tục mấy tuần nay vừa lo tâm trạng gần đây, cảm giác mất động lực thật sự, không biết trụ được bao lâu.","NEGATIVE"
"Mặc dù bực bội không kiểm soát được nhưng em vẫn hiểu được nội dung chính được.","NEUTRAL"
"Dù hơi không theo kịp thật nhưng em vẫn đang theo kịp bài bình thường.","NEUTRAL"
"Chưa hứng thú lắm, nhưng em vẫn hoàn thành bài đúng hạn.","NEUTRAL"
"áp lực thi cử không làm em nản, em vẫn theo kịp bài như thường.","POSITIVE"
"Có lúc thấy mất động lực nhưng nhìn chung em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Bài hôm nay hơi khó hiểu, em cần xem lại một chút.","NEUTRAL"
"Do sức khoẻ không tốt dạo này kéo dài, em trở nên dễ nản với xung quanh, kể cả với cảm giác mất phương hướng dù không muốn vậy.","NEGATIVE"
"Em thấy tiến bộ rõ so với đầu kỳ.","POSITIVE"
"Tưởng sẽ ổn định nhưng cuối cùng em lại thấy cảm thấy bất an.","NEGATIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại lo âu về tương lai em thấy chill hơn hẳn và dễ xử lý hơn trước.","POSITIVE"
"Dù bài hơi khó, em vẫn cảm thấy ổn và làm được bài tập được.","POSITIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại bài kiểm tra giữa kỳ em thấy yên tâm hơn nhiều và dễ xử lý hơn trước.","POSITIVE"
"Dù hơi đuối sức thật nhưng em vẫn đang hiểu được nội dung chính bình thường.","NEUTRAL"
"Em thấy chán, học mãi mà không thấy hiểu thêm được gì.","NEGATIVE"
"Tuy rất mệt mỏi nhưng nhìn chung em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Tưởng sẽ theo kịp nhưng cuối cùng em lại thấy không theo kịp.","NEGATIVE"
"Hơi quá tải thật sự nhưng em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Gần đây em cân đối được thời gian hơn nên thời gian tự do không còn là áp lực lớn, em thấy thoải mái và nhẹ nhõm.","POSITIVE"
"Có lúc thấy kiệt sức nhưng nhìn chung em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Dạo này tinh thần em khá ổn, đối mặt với đi lại hàng ngày em thấy có động lực hơn hẳn và dễ chịu hơn trước.","POSITIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại định hướng nghề nghiệp em thấy có động lực hơn hẳn và dễ xử lý hơn trước.","POSITIVE"
"Nhờ em chủ động hỏi thêm nên em có thêm năng lượng, thấy phấn khởi hơn nhiều với mọi thứ, kể cả tâm lý bất ổn.","POSITIVE"
"Môn này bình thường thôi, không quá khó cũng không quá dễ.","NEUTRAL"
"Dạo này em đang gặp chuyện nhóm không làm việc được với nhau, vì thế khi đối mặt với tâm lý bất ổn cứ thấy căng thẳng và khó tập trung.","NEGATIVE"
"Mặc dù không tập trung được nhưng em vẫn xử lý ổn mọi thứ được.","NEUTRAL"
"Tưởng sẽ hiểu bài nhưng cuối cùng em lại thấy cáu gắt liên tục.","NEGATIVE"
"Cứ tưởng sẽ dễ hiểu bài hơn nhưng thực ra em đang rất mệt mỏi nhiều lắm.","NEGATIVE"
"Dù hơi không tập trung được thật nhưng em vẫn đang vẫn học ổn bình thường.","NEUTRAL"
"Dạo này tinh thần em khá ổn, đối mặt với đau đầu liên tục em thấy khá tự tin và dễ chịu hơn trước.","POSITIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại nỗi sợ thất bại em thấy rất ổn và dễ xử lý hơn trước.","POSITIVE"
"Tưởng sẽ theo kịp nhưng cuối cùng em lại thấy bực bội không kiểm soát được.","NEGATIVE"
"Em cũng muốn hiểu bài lắm nhưng hiện tại chỉ thấy quá tải thật sự thôi.","NEGATIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại sự phù hợp của ngành học em thấy hài lòng ghê và dễ xử lý hơn trước.","POSITIVE"
